n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed,gamma
50.0,50.0,300.0,0.25,0.2286705085582167,0.0066522367223217265,0.15351315513050137,0.0,0.028669935776378858
100.0,100.0,300.0,0.25,0.1659480986373784,0.00300796227111689,0.12891266876215243,0.0,0.061331056428202926
150.0,150.0,300.0,0.25,0.18908079323476662,0.001903739012455487,0.11422434074732922,0.0,0.0909472542055835
200.0,200.0,300.0,0.25,0.1951275964382061,0.0016351410224138086,0.12263557668103565,0.0,0.09261512566889453
250.0,250.0,300.0,0.25,0.20249196664088967,0.0015944781340537317,0.1406892471223881,0.0,0.0938346743688471
50.0,50.0,300.0,0.25,0.20598111025605595,0.002813297168741035,0.06492224235556233,1.0,0.09882381089475187
100.0,100.0,300.0,0.25,0.2251595317218858,0.0023813785371361793,0.1020590801629791,1.0,0.06311302923032437
150.0,150.0,300.0,0.25,0.22313478394951855,0.0019735570411026273,0.11841342246615764,1.0,0.061953309326185285
200.0,200.0,300.0,0.25,0.2204712898795844,0.0018455878220150538,0.13841908665112904,1.0,0.09884686874607135
250.0,250.0,300.0,0.25,0.21680072018853985,0.0017091754755174608,0.1508096007809524,1.0,0.09681955592596889
50.0,50.0,300.0,0.25,0.3464599229360117,0.0023653644421859324,0.05458533328121382,2.0,0.0827190235431623
100.0,100.0,300.0,0.25,0.3160551071854666,0.0018761563925008223,0.08040670253574952,2.0,0.08320891922351623
150.0,150.0,300.0,0.25,0.301875850094426,0.0015093220980641094,0.09055932588384656,2.0,0.08495095389277593
200.0,200.0,300.0,0.25,0.2752229442016914,0.0015331484779870356,0.11498613584902768,2.0,0.08848350448204917
250.0,250.0,300.0,0.25,0.2681987802770785,0.0015506317517450987,0.13682044868339105,2.0,0.09209092829780205
50.0,50.0,300.0,0.25,0.13374791718102433,0.00582591894316097,0.1344442833037147,3.0,0.05610619739798948
100.0,100.0,300.0,0.25,0.11291823024453342,0.003480485603440831,0.14916366871889275,3.0,0.038336964670304584
150.0,150.0,300.0,0.25,0.15441468159642793,0.002601838732471393,0.15611032394828359,3.0,0.06350162455760405
200.0,200.0,300.0,0.25,0.1437019683229816,0.0024273696566737522,0.18205272425053143,3.0,0.056788853632637776
250.0,250.0,300.0,0.25,0.18309636199984375,0.0018370119563036228,0.16208929026208435,3.0,0.062467535164752834
50.0,50.0,300.0,0.25,0.31442695528754155,0.00402663873029097,0.09292243223748392,4.0,0.08908098253597752
100.0,100.0,300.0,0.25,0.2812619519836188,0.002617191324862127,0.11216534249409114,4.0,0.09458388066823542
150.0,150.0,300.0,0.25,0.2798573233935869,0.002214739130601238,0.13288434783607428,4.0,0.09492486890280577
200.0,200.0,300.0,0.25,0.26551144195523557,0.0018707373521783845,0.14030530141337885,4.0,0.09673176089463947
250.0,250.0,300.0,0.25,0.24791320001503375,0.0017799635592193742,0.15705560816641537,4.0,0.09486424040173821
50.0,50.0,300.0,0.25,0.2628319122302437,0.0024364476919662963,0.05622571596845299,5.0,0.05850643482528616
100.0,100.0,300.0,0.25,0.27033212768519427,0.0020265535500619655,0.08685229500265566,5.0,0.042640451038239144
150.0,150.0,300.0,0.25,0.25320529918363405,0.0016841143123064433,0.1010468587383866,5.0,0.0537359603041099
200.0,200.0,300.0,0.25,0.2357494197107656,0.0017472283123382314,0.13104212342536736,5.0,0.054418783317497874
250.0,250.0,300.0,0.25,0.24378278163455447,0.0016006889390887855,0.1412372593313634,5.0,0.05438930070096833
50.0,50.0,300.0,0.25,0.05994994669655441,0.0032025315059626266,0.07390457321452215,6.0,0.15690610523782186
100.0,100.0,300.0,0.25,0.10691811339774397,0.0022757066794284186,0.09753028626121794,6.0,0.09225920681751185
150.0,150.0,300.0,0.25,0.1480012994652753,0.0017934589165301865,0.1076075349918112,6.0,0.09358179575758442
200.0,200.0,300.0,0.25,0.13755621468802545,0.0016203852232708111,0.12152889174531084,6.0,0.09480707945008382
250.0,250.0,300.0,0.25,0.1505109305970925,0.0014799701034387339,0.1305855973622412,6.0,0.09543458534349242
50.0,50.0,300.0,0.25,0.2614947251344342,0.0024128917163986565,0.055682116532276685,7.0,0.05582547297489783
100.0,100.0,300.0,0.25,0.2610210966858121,0.0015460147607095852,0.06625777545898222,7.0,0.0559809210611445
150.0,150.0,300.0,0.25,0.21376663094561532,0.0014445008673125905,0.08667005203875543,7.0,0.05735716702301777
200.0,200.0,300.0,0.25,0.20494714615880805,0.0014413794671064156,0.10810346003298119,7.0,0.0601607582959036
250.0,250.0,300.0,0.25,0.19590172215762824,0.0014112242479272445,0.12451978658181569,7.0,0.0608836768408374
50.0,50.0,300.0,0.25,0.25528795965354256,0.004045335114877372,0.09335388726640088,8.0,0.060808296089414265
100.0,100.0,300.0,0.25,0.23401310851849286,0.0026287659621765077,0.11266139837899318,8.0,0.05927245555768387
150.0,150.0,300.0,0.25,0.23689596524589535,0.0025075239060695412,0.15045143436417246,8.0,0.08921926401380212
200.0,200.0,300.0,0.25,0.2692675935939568,0.0019540131297837867,0.146550984733784,8.0,0.09035258984893757
250.0,250.0,300.0,0.25,0.26881804294603134,0.0018059071907006916,0.15934475212064925,8.0,0.14801757981011737
50.0,50.0,300.0,0.25,0.2850740858500355,0.003379040003091553,0.07797784622518968,9.0,0.06324375067790967
